07:35:50 | 400 |      5.8879ms | 127.0.0.1 | POST | /api/course/ | -
07:36:05 | 400 |      1.1421ms | 127.0.0.1 | POST | /api/course/ | -
07:36:09 | 200 |      18.768ms | 127.0.0.1 | POST | /api/course/ | -
13:21:19 | 401 |       504.5µs | 127.0.0.1 | PATCH | /api/course-customer | -
13:22:57 | 400 |      4.9797ms | 127.0.0.1 | POST | /api/user | -
13:23:01 | 400 |       504.6µs | 127.0.0.1 | POST | /api/user | -
13:23:06 | 200 |      2.1103ms | 127.0.0.1 | POST | /api/user/login | -
13:24:26 | 200 |      8.4311ms | 127.0.0.1 | PATCH | /api/course-customer | -
13:24:49 | 200 |     14.9015ms | 127.0.0.1 | POST | /api/course/ | -
13:47:40 | 400 |       588.2µs | 127.0.0.1 | GET | /api/course-customer/ | -
13:50:11 | 400 |            0s | 127.0.0.1 | GET | /api/course-customer/ | -
13:52:01 | 400 |            0s | 127.0.0.1 | GET | /api/course-customer/ | -
13:53:01 | 200 |      3.9177ms | 127.0.0.1 | GET | /api/course-customer/ | -
13:54:55 | 200 |      5.3248ms | 127.0.0.1 | GET | /api/course-customer/ | -
13:55:06 | 200 |      2.0439ms | 127.0.0.1 | GET | /api/course-customer/ | -
13:55:08 | 200 |       712.8µs | 127.0.0.1 | GET | /api/course-customer/ | -
13:55:35 | 200 |      5.1542ms | 127.0.0.1 | GET | /api/course-customer/ | -
13:55:35 | 200 |      1.3796ms | 127.0.0.1 | GET | /api/course-customer/ | -
13:55:36 | 200 |            0s | 127.0.0.1 | GET | /api/course-customer/ | -
13:55:37 | 200 |      1.0006ms | 127.0.0.1 | GET | /api/course-customer/ | -
13:55:37 | 200 |       782.3µs | 127.0.0.1 | GET | /api/course-customer/ | -
13:55:41 | 200 |       543.9µs | 127.0.0.1 | GET | /api/course-customer/ | -
13:55:43 | 200 |       545.2µs | 127.0.0.1 | GET | /api/course-customer/ | -
13:56:13 | 200 |      1.6564ms | 127.0.0.1 | GET | /api/course-customer/ | -
13:56:14 | 200 |      1.3194ms | 127.0.0.1 | GET | /api/course-customer/ | -
13:56:15 | 200 |      1.1714ms | 127.0.0.1 | GET | /api/course-customer/ | -
13:56:16 | 200 |      1.1109ms | 127.0.0.1 | GET | /api/course-customer/ | -
13:56:17 | 200 |       514.9µs | 127.0.0.1 | GET | /api/course-customer/ | -
13:59:24 | 200 |      5.1924ms | 127.0.0.1 | GET | /api/course-customer/ | -
14:00:37 | 200 |       6.729ms | 127.0.0.1 | GET | /api/course-customer/ | -
14:02:31 | 200 |      8.0591ms | 127.0.0.1 | GET | /api/course-customer/ | -
14:02:55 | 200 |      5.7055ms | 127.0.0.1 | GET | /api/course-customer/ | -
14:05:48 | 200 |      6.9486ms | 127.0.0.1 | GET | /api/course-customer/ | -
14:06:12 | 200 |      1.0434ms | 127.0.0.1 | GET | /api/course-customer/ | -
14:06:22 | 200 |       1.705ms | 127.0.0.1 | GET | /api/course-customer/ | -
14:08:41 | 200 |      5.5585ms | 127.0.0.1 | GET | /api/course-customer/ | -
14:08:48 | 200 |       505.6µs | 127.0.0.1 | GET | /api/course-customer/ | -
14:08:52 | 200 |      2.7558ms | 127.0.0.1 | GET | /api/course-customer/ | -
14:08:58 | 200 |       506.7µs | 127.0.0.1 | GET | /api/course-customer/ | -
14:11:16 | 200 |       6.368ms | 127.0.0.1 | GET | /api/course-customer/ | -
14:13:19 | 200 |      6.6585ms | 127.0.0.1 | GET | /api/course-customer/ | -
